cohort,run_key,solution_id,is_representative,decision_hash,period,demand,delivered,cumulative_delivered,satisfaction,first_service_period,first_topology_time_period,global_supply_at_first_path,stocked_feasible_supplier_at_period_start
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,5,17,54.8948418122345,84.8948418122345,0.5895475125849619,3,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,5,18,11.842152344389987,70.15615399761046,0.5895475125849619,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,5,22,12.339721770624863,73.10389156053527,0.5895475125849619,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,6,0,19.693062544059856,112.84156953248383,0.7141871489397711,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,6,1,0.0,21.31136994769986,0.3674374128913769,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,6,2,0.0,20.943932534808482,0.3674374128913769,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,6,6,21.4380174530272,122.84018961764063,0.7141871489397711,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,6,10,17.200269816963683,98.55782655368841,0.7141871489397711,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,6,13,23.556891271058944,134.98137114961673,0.7141871489397711,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,6,17,10.0,94.8948418122345,0.6589919570294063,3,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,6,18,14.832116726222296,84.98827072383276,0.7141871489397711,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,6,22,15.455314907996339,88.55920646853161,0.7141871489397711,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,7,0,16.65552742847767,129.4970969609615,0.8196018794997564,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,7,1,0.0,21.31136994769986,0.3674374128913769,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,7,2,25.773374596677634,46.717307131486116,0.8196018794997564,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,7,6,18.131333656317466,140.9715232739581,0.8196018794997564,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,7,10,14.547232817277973,113.10505937096639,0.8196018794997564,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,7,13,19.92338407583722,154.90475522545395,0.8196018794997564,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,7,17,23.127828835730412,118.02267064796492,0.8196018794997564,3,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,7,18,12.544352936638248,97.532623660471,0.8196018794997564,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,7,22,13.071426589438175,101.63063305796979,0.8196018794997564,1,1,1043.1000000000001,True
historical_S025,S025:i102:nsga2_ls:s1070000:r0:c8a010acd7f2,p0005,False,1866c7482f66c905,8,0,12.702903039028314,142.1999999999898,0.8999999999999355,1,1,1043.1000000000001,True
