cohort,run_key,solution_id,is_representative,decision_hash,period,end_hours,total_satisfaction,min_satisfaction,zero_service_ratio,remaining_supply,remaining_supply_1,remaining_supply_12,remaining_supply_4,remaining_supply_16,remaining_supply_2,remaining_supply_3
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0004,False,4277c70ea192f682,2,16,0.24044559504323046,0.06944444444444445,0.0,746.6155864110633,315.3958212654112,431.2197651456521,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0004,False,4277c70ea192f682,3,24,0.3635784881701598,0.20833333333333334,0.0,607.2291513913792,239.14800699676687,368.0811443946124,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0004,False,4277c70ea192f682,4,32,0.48871567757816375,0.3472222222222222,0.0,465.5738529815188,161.45115143338433,304.1227015481345,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0004,False,4277c70ea192f682,5,40,0.611185238651446,0.4513888888888889,0.0,326.93830984656324,82.48958491703111,244.44872492953215,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0004,False,4277c70ea192f682,6,48,0.7357434774681871,0.5902777777777778,0.0,185.93838350601237,5.211291879695459,180.7270916263169,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0004,False,4277c70ea192f682,7,56,0.8410926346147485,0.5902777777777778,0.0,66.68313761610494,0.0,66.68313761610494,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0004,False,4277c70ea192f682,8,64,0.8999999999998318,0.8999999999998317,0.0,1.9062440514971968e-10,0.0,1.9062440514971968e-10,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0004,False,4277c70ea192f682,9,72,0.8999999999998318,0.8999999999998317,0.0,1.9062440514971968e-10,0.0,1.9062440514971968e-10,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0005,True,f004bfeb0ef6bd44,1,8,0.11743185705856614,0.0,0.2222222222222222,885.8671378097033,427.017587362741,458.8495504469623,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0005,True,f004bfeb0ef6bd44,2,16,0.24296225749100553,0.10416666666666667,0.0,743.7667245201819,362.038626457094,381.72809806308794,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0005,True,f004bfeb0ef6bd44,3,24,0.3701919709432098,0.24305555555555555,0.0,599.7426888922867,304.4201726583046,295.32251623398207,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0005,True,f004bfeb0ef6bd44,4,32,0.48565394699478504,0.2777777777777778,0.0,469.03973200190353,246.0217341839262,223.01799781797735,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0005,True,f004bfeb0ef6bd44,5,40,0.6129299472944647,0.4861111111111111,0.0,324.96329966266615,193.0246871761226,131.93861248654355,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0005,True,f004bfeb0ef6bd44,6,48,0.7284323221141943,0.5208333333333334,0.0,194.21461136673224,134.60500303863913,59.60960832809312,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0005,True,f004bfeb0ef6bd44,7,56,0.8544263136075175,0.7291666666666666,0.0,51.58941299629035,51.58941299629035,0.0,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0005,True,f004bfeb0ef6bd44,8,64,0.8999999999999773,0.8999999999999773,0.0,2.5920599000528455e-11,2.5920599000528455e-11,0.0,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0005,True,f004bfeb0ef6bd44,9,72,0.8999999999999773,0.8999999999999773,0.0,2.5920599000528455e-11,2.5920599000528455e-11,0.0,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0006,False,2b0dc1f4a658a7ec,1,8,0.11743185705856614,0.0,0.2222222222222222,885.8671378097033,408.6518629811868,477.2152748285165,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0006,False,2b0dc1f4a658a7ec,2,16,0.23854303518332556,0.0,0.1111111111111111,748.7692841724756,318.8790477384797,429.89023643399594,,,,
historical_S025,S025:i101:nsga2_alns:s1060000:r0:ea312f1117d4,p0006,False,2b0dc1f4a658a7ec,3,24,0.35850150762990224,0.0,0.1111111111111111,612.9762933629509,231.89386171329772,381.08243164965313,,,,
