cohort,run_key,solution_id,is_representative,decision_hash,F1,F2,F3,F3_key,min_satisfaction,total_satisfaction,zero_service_ratio,remaining_supply,cumulative_min_service_shortfall_hours
historical_S025,S025:i101:nsga2_ls:s1060002:r2:c3add9745d62,p0003,False,8fe2ae5361fd98c9,3.896344712981204,3220.3704809828087,-0.8999999999999773,-90000000,0.8999999999999773,0.8999999999999773,0.0,2.5835333872237243e-11,39.822222222222585
historical_S025,S025:i101:nsga2:s1060000:r0:513c3235cf92,p0001,True,86792f5e2cb2facb,3.776208806656289,3236.131483802792,-0.8999999999998775,-90000000,0.8999999999998775,0.8999999999998776,0.0,1.3876899629394757e-10,37.54431695064804
historical_S025,S025:i101:nsga2:s1060000:r0:513c3235cf92,p0002,False,ef5adf2e14f2193b,3.7825778728320834,3175.558536483742,-0.899999999999812,-90000000,0.899999999999812,0.8999999999998121,0.0,2.1292123619787162e-10,37.634145275006546
historical_S025,S025:i101:nsga2:s1060000:r0:513c3235cf92,p0003,False,7d684baac421f8ff,3.837094203785391,3165.1556290600806,-0.8999999999997318,-90000000,0.8999999999997318,0.8999999999997319,0.0,3.036575435544364e-10,47.07368421053061
historical_S025,S025:i101:nsga2:s1060000:r0:513c3235cf92,p0004,False,26ac493d090f7ad1,3.8588874478090336,3105.3156051084597,-0.8999999999997318,-90000000,0.8999999999997318,0.8999999999997319,0.0,3.037285978280124e-10,46.54736842105692
historical_S025,S025:i101:nsga2:s1060001:r1:84611c72e3a3,p0001,True,79a364473f98711c,3.779728631726449,3278.3263643943264,-0.8999999999998763,-90000000,0.8999999999998763,0.8999999999998765,0.0,1.4011192206453416e-10,37.877777777779755
historical_S025,S025:i101:nsga2:s1060001:r1:84611c72e3a3,p0002,False,a663398501794e6e,3.7829840002190247,3251.0026673916263,-0.8999999999999476,-90000000,0.8999999999999476,0.8999999999999477,0.0,5.934452929068357e-11,37.93034068664411
historical_S025,S025:i101:nsga2:s1060001:r1:84611c72e3a3,p0003,False,35732664e83d60e1,3.788562553988059,3211.034728060285,-0.8999999999998132,-90000000,0.8999999999998132,0.8999999999998133,0.0,2.1164225927350344e-10,38.43333333333632
historical_S025,S025:i101:nsga2:s1060001:r1:84611c72e3a3,p0004,False,ec1f9ecf0ba3d81e,3.8166545643947565,3111.9066568573203,-0.8999999999998798,-90000000,0.8999999999998798,0.8999999999998799,0.0,1.360973556074896e-10,42.754639175259655
historical_S025,S025:i101:nsga2:s1060002:r2:308067de2de9,p0001,False,300f7aa787f40a88,3.9505212940973733,3103.5646764309618,-0.8999999999997318,-90000000,0.8999999999997318,0.8999999999997319,0.0,3.036859652638668e-10,47.07368421053061
historical_S025,S025:i101:nsga2:s1060002:r2:308067de2de9,p0002,False,bbe9d8a248fac2e6,3.8515378705467223,3324.290402800705,-0.8999999999998899,-90000000,0.8999999999998899,0.89999999999989,0.0,1.2460077414289117e-10,45.60913991041421
historical_S025,S025:i101:nsga2:s1060002:r2:308067de2de9,p0003,False,75cb75ff649b74c2,3.822395639353327,3422.4927628643227,-0.8999999999998275,-90000000,0.8999999999998275,0.8999999999998276,0.0,1.9525714378687553e-10,44.78884835564158
historical_S025,S025:i101:nsga2:s1060002:r2:308067de2de9,p0004,False,03a6c09befd51f7f,3.8450910910119176,3384.201715051357,-0.8999999999999727,-90000000,0.8999999999999727,0.8999999999999728,0.0,3.097966327914037e-11,45.355829645457916
historical_S025,S025:i101:nsga2:s1060002:r2:308067de2de9,p0005,False,723af32faa3262e2,3.884193414086069,3136.326552958579,-0.8999999999998797,-90000000,0.8999999999998797,0.8999999999998799,0.0,1.3635315099236323e-10,39.97654125702324
historical_S025,S025:i101:nsga2:s1060002:r2:308067de2de9,p0006,False,1ddba04440e79875,3.848483794747515,3331.980394989099,-0.8999999999998974,-90000000,0.8999999999998974,0.8999999999998974,0.0,1.163016349892132e-10,41.3574728395899
historical_S025,S025:i101:nsga2:s1060002:r2:308067de2de9,p0007,False,677471b6b584b86f,3.8316569874848634,3417.006995952502,-0.899999999999546,-90000000,0.899999999999546,0.899999999999546,0.0,5.140634584677173e-10,47.15889749296573
historical_S025,S025:i101:nsga2:s1060002:r2:308067de2de9,p0008,True,59f21ef06d457946,3.7987967130125497,3472.0286409919486,-0.8999999999999472,-90000000,0.8999999999999472,0.8999999999999473,0.0,5.988454176986124e-11,43.38947368421137
historical_S025,S025:i101:nsga2:s1060002:r2:308067de2de9,p0009,False,c7910272cfe76bb6,3.852843961309346,3189.755202795615,-0.8999999999998798,-90000000,0.8999999999998798,0.8999999999998799,0.0,1.361328827442776e-10,42.754639175259655
historical_S025,S025:i102:nsga2_alns:s1070000:r0:4bee04ec640e,p0001,False,57e988453f8fdd3f,3.873627088593871,4142.410109974639,-0.8999999999996837,-90000000,0.8999999999996837,0.8999999999996837,0.0,3.667963710540789e-10,40.59321692861667
historical_S025,S025:i102:nsga2_alns:s1070000:r0:4bee04ec640e,p0002,False,74a4e59ccdab0d64,3.8875089937239604,3994.743082434596,-0.8999999999997516,-90000000,0.8999999999997516,0.8999999999997518,0.0,2.878906002479198e-10,40.90972450408723
historical_S025,S025:i102:nsga2_alns:s1070000:r0:4bee04ec640e,p0003,False,5e4a3f389dda2b60,3.8873087947938068,4115.524781233302,-0.8999999999997818,-90000000,0.8999999999997818,0.899999999999782,0.0,2.5279689452872844e-10,39.6201077999113
historical_S025,S025:i102:nsga2_alns:s1070000:r0:4bee04ec640e,p0004,True,993f7e961e6bda07,3.8022131957330743,4396.918488186386,-0.8999999999997628,-90000000,0.8999999999997628,0.8999999999997628,0.0,2.750510930127348e-10,37.85316455696582
historical_S025,S025:i102:nsga2_alns:s1070001:r1:13e6cdde3e72,p0001,False,3809403fb340e107,3.7938793666418698,4218.95740446267,-0.8999999999999718,-90000000,0.8999999999999718,0.8999999999999718,0.0,3.267786041760701e-11,37.290278198736736
historical_S025,S025:i102:nsga2_alns:s1070001:r1:13e6cdde3e72,p0002,True,a4f9dca07f8e63f5,3.788933197713143,4220.937094876897,-0.8999999999999098,-90000000,0.8999999999999098,0.8999999999999099,0.0,1.0456346899445634e-10,40.57590898900725
historical_S025,S025:i102:nsga2_alns:s1070001:r1:13e6cdde3e72,p0003,False,90b1f48bcd60fb6b,3.802802770957402,4169.948741525652,-0.8999999999998562,-90000000,0.8999999999998562,0.8999999999998564,0.0,1.6677148551025311e-10,40.10570056159523
historical_S025,S025:i102:nsga2_alns:s1070001:r1:13e6cdde3e72,p0004,False,2d8242283d5fc7a3,3.864294422275427,3966.6368146599566,-0.899999999999684,-90000000,0.899999999999684,0.8999999999996843,0.0,3.6617109344661003e-10,51.98596491228576
historical_S025,S025:i102:nsga2_alns:s1070001:r1:13e6cdde3e72,p0005,False,03804da193d0d74e,3.8620453529827152,4125.311895242914,-0.899999999999684,-90000000,0.899999999999684,0.8999999999996843,0.0,3.6615688259189483e-10,50.58245614035593
historical_S025,S025:i102:nsga2_alns:s1070002:r2:d50c12756e62,p0001,False,ab4bdfc4b460ea66,4.154777793324827,4074.7731441865876,-0.8999999999996583,-90000000,0.8999999999996583,0.8999999999996853,0.0,3.6486369481281145e-10,46.56373013540113
historical_S025,S025:i102:nsga2_alns:s1070002:r2:d50c12756e62,p0002,False,e40e81dad1361e86,3.9438946918407907,4104.669141399715,-0.8999999999994448,-90000000,0.8999999999994448,0.8999999999994447,0.0,6.435811883420683e-10,54.79298245614923
historical_S025,S025:i102:nsga2_alns:s1070002:r2:d50c12756e62,p0003,False,a2050d3ba5dfb725,3.9297804650394252,4201.037450557062,-0.8999999999994448,-90000000,0.8999999999994448,0.8999999999994447,0.0,6.435953991967835e-10,54.79298245614923
historical_S025,S025:i102:nsga2_alns:s1070002:r2:d50c12756e62,p0004,True,d45b31b9e05f2b75,3.852280567660639,4495.76864880773,-0.8999999999997959,-90000000,0.8999999999997959,0.8999999999997959,0.0,2.3669599613640457e-10,50.58245614035414
historical_S025,S025:i102:nsga2_alns:s1070002:r2:d50c12756e62,p0005,False,3512e2ec41322a96,3.8688302007809394,4265.566076782861,-0.899999999999727,-90000000,0.899999999999727,0.899999999999727,0.0,3.164615236528334e-10,41.66780192271337
historical_S025,S025:i102:nsga2_alns:s1070002:r2:d50c12756e62,p0006,False,62d17067bcac4eed,3.91168581118456,4202.751787751955,-0.8999999999998837,-90000000,0.8999999999998837,0.8999999999998838,0.0,1.3508127949535265e-10,40.677435731512816
