case_id,scenario_family,zone,instance_seed,solver_seed,solver_repeat,model_id,model,run_key,physical_instance_hash,period,demand,delivered,cumulative_delivered,satisfaction,first_service_period
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,1,35,0.0,0.0,0.0,4
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,1,36,231.56721536333862,231.56721536333862,0.6344307270228455,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,1,37,0.0,0.0,0.0,3
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,1,38,0.0,0.0,0.0,4
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,4,125.02469135787578,341.99999999968895,0.9999999999990905,1
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,5,0.0,0.0,0.0,5
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,6,0.0,0.0,0.0,5
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,7,0.0,0.0,0.0,5
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,8,0.0,0.0,0.0,5
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,9,0.0,0.0,0.0,5
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,10,0.0,0.0,0.0,5
