case_id,scenario_family,zone,instance_seed,solver_seed,solver_repeat,model_id,model,run_key,physical_instance_hash,algorithm,evaluations,termination_reason,saved_front_size,execution_front_size,representative_hash,representative_F1,representative_F2,representative_F3,final_total_satisfaction,final_min_satisfaction,zero_service_ratio,remaining_supply,hypervolume,igd
S025,corridor,binding,102,1070001,1,PR1_HT1_EC1,Full,S025@corridor@binding:i102:nsga2:s1070001:r1:PR1_HT1_EC1:4bf2708ae859,25e7b74fd7208cd542569f2bc9871358dcab9b95f9b86f53900f2c41ac0c7e8c,nsga2,500,budget_exhausted,36,36,f887ecb5eae402f6,4.568214100407843,4307.993124762185,-0.8638743455497382,0.8970822224453796,0.8638743455497382,0.0,2.2262642741754632,0.39223458226244157,0.012957484475353017
S025,corridor,inactive,101,1060000,0,PR0_HT1_EC1,No-PR,S025@corridor@inactive:i101:nsga2:s1060000:r0:PR0_HT1_EC1:695392aa124e,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,nsga2,500,budget_exhausted,13,6,446d1119ac6df040,4.746839354476592,5339.731050489486,-0.823170731707317,0.888858778579279,0.823170731707317,0.0,7.330923694834496,0.23978687528752854,0.24122784167212816
S025,corridor,inactive,101,1060000,0,PR1_HT0_EC1,No-HT,S025@corridor@inactive:i101:nsga2:s1060000:r0:PR1_HT0_EC1:b339f64ad983,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,nsga2,500,budget_exhausted,29,20,7d342e706d518418,4.532757880055506,5028.442881516384,-0.8678714859437232,0.8999999999998745,0.8678714859437232,0.0,8.262190931418445e-11,0.2772103024112065,0.030173726828484196
S025,corridor,inactive,101,1060000,0,PR1_HT1_EC0,No-EC,S025@corridor@inactive:i101:nsga2:s1060000:r0:PR1_HT1_EC0:a86ce6b22107,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,nsga2,500,budget_exhausted,40,40,1cf0727b6e4aef4b,4.528251717410251,5050.013104580583,-0.8678714859436998,0.8999999999998567,0.8678714859436998,0.0,9.43387590268685e-11,0.3014076967568872,0.010373754643336449
S025,corridor,inactive,101,1060000,0,PR1_HT1_EC1,Full,S025@corridor@inactive:i101:nsga2:s1060000:r0:PR1_HT1_EC1:936edd1f2272,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,nsga2,500,budget_exhausted,40,40,1cf0727b6e4aef4b,4.528251717410251,5050.013104580583,-0.8678714859436998,0.8999999999998567,0.8678714859436998,0.0,9.43387590268685e-11,0.3014076967568872,0.010373754643336449
S025,corridor,inactive,101,1060001,1,PR0_HT1_EC1,No-PR,S025@corridor@inactive:i101:nsga2:s1060001:r1:PR0_HT1_EC1:4033821e0b6c,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,nsga2,500,budget_exhausted,13,6,b14bac020e17e995,4.746839354476592,5339.731050489486,-0.823170731707317,0.888858778579279,0.823170731707317,0.0,7.330923694834496,0.23978687528752854,0.24122784167212816
S025,corridor,inactive,101,1060001,1,PR1_HT0_EC1,No-HT,S025@corridor@inactive:i101:nsga2:s1060001:r1:PR1_HT0_EC1:6b766fe2ff8b,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,nsga2,500,budget_exhausted,29,18,2f5eeafea146cb41,4.532757880055506,5028.442881516384,-0.8678714859437232,0.8999999999998745,0.8678714859437232,0.0,8.262190931418445e-11,0.2826451989533604,0.038778401065599204
S025,corridor,inactive,101,1060001,1,PR1_HT1_EC0,No-EC,S025@corridor@inactive:i101:nsga2:s1060001:r1:PR1_HT1_EC0:8bbc9a1f3321,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,nsga2,500,budget_exhausted,39,39,cde6c0b29343e286,4.528251717410251,5033.3811674421795,-0.8678714859436998,0.8999999999998567,0.8678714859436998,0.0,9.43387590268685e-11,0.308205226163428,0.008957367375431693
S025,corridor,inactive,101,1060001,1,PR1_HT1_EC1,Full,S025@corridor@inactive:i101:nsga2:s1060001:r1:PR1_HT1_EC1:67564d14e5f7,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,nsga2,500,budget_exhausted,39,39,cde6c0b29343e286,4.528251717410251,5033.3811674421795,-0.8678714859436998,0.8999999999998567,0.8678714859436998,0.0,9.43387590268685e-11,0.308205226163428,0.008957367375431693
S025,corridor,inactive,102,1070000,0,PR0_HT1_EC1,No-PR,S025@corridor@inactive:i102:nsga2:s1070000:r0:PR0_HT1_EC1:b000292d4414,2e814cd9fcac3903c94a188170ea145cdf0012758210e24bec0ee8270490ed48,nsga2,500,budget_exhausted,11,10,ec28acedbe95bb7e,4.390306411130979,4093.0598151529225,-0.8755301794452158,0.8999999999998918,0.8755301794452158,0.0,8.267875273304526e-11,0.39285926122749193,0.07912812678363103
