case_id,scenario_family,zone,instance_seed,solver_seed,solver_repeat,model_id,model,full_run_key,simplified_run_key,delta_hv,delta_igd,representative_relation,representative_delta_F1,representative_delta_F2,representative_delta_F3
S025,corridor,transition,101,1060001,1,PR0_HT1_EC1,No-PR,S025@corridor@transition:i101:nsga2:s1060001:r1:PR1_HT1_EC1:5981db62a04a,S025@corridor@transition:i101:nsga2:s1060001:r1:PR0_HT1_EC1:ff8fa5c2dc8c,0.06878853652078432,0.062160735128701926,tradeoff,0.007598784194529529,-138.94865365926694,0.0
S025,corridor,transition,101,1060001,1,PR1_HT0_EC1,No-HT,S025@corridor@transition:i101:nsga2:s1060001:r1:PR1_HT1_EC1:5981db62a04a,S025@corridor@transition:i101:nsga2:s1060001:r1:PR1_HT0_EC1:7bff5436b0c7,0.001286442999890891,0.007497241252217405,same,0.0,0.0,0.0
S025,corridor,transition,101,1060001,1,PR1_HT1_EC0,No-EC,S025@corridor@transition:i101:nsga2:s1060001:r1:PR1_HT1_EC1:5981db62a04a,S025@corridor@transition:i101:nsga2:s1060001:r1:PR1_HT1_EC0:fcee649143dd,0.09613386842876526,0.07371839160514569,tradeoff,0.02562198844837038,-174.62872629749063,0.0
S025,corridor,transition,102,1070000,0,PR0_HT1_EC1,No-PR,S025@corridor@transition:i102:nsga2:s1070000:r0:PR1_HT1_EC1:53750258a23e,S025@corridor@transition:i102:nsga2:s1070000:r0:PR0_HT1_EC1:9d86b7f399ae,0.04621339783420514,0.06967277373949068,tradeoff,0.18695966686447907,-242.1987525095533,-2.220446049250313e-15
S025,corridor,transition,102,1070000,0,PR1_HT0_EC1,No-HT,S025@corridor@transition:i102:nsga2:s1070000:r0:PR1_HT1_EC1:53750258a23e,S025@corridor@transition:i102:nsga2:s1070000:r0:PR1_HT0_EC1:0f8ad9cd5a7c,0.032924327590104385,0.047812697968948645,tradeoff,0.21140953241771054,-26.452623040761864,-9.658940314238862e-15
S025,corridor,transition,102,1070000,0,PR1_HT1_EC0,No-EC,S025@corridor@transition:i102:nsga2:s1070000:r0:PR1_HT1_EC1:53750258a23e,S025@corridor@transition:i102:nsga2:s1070000:r0:PR1_HT1_EC0:8fbc426fe68e,-0.0014230604745593123,-0.0035614094346385463,tradeoff,0.008176473107397442,-49.73418340885837,6.283862319378386e-14
S025,corridor,transition,102,1070001,1,PR0_HT1_EC1,No-PR,S025@corridor@transition:i102:nsga2:s1070001:r1:PR1_HT1_EC1:f7b5fefe44d6,S025@corridor@transition:i102:nsga2:s1070001:r1:PR0_HT1_EC1:fdeb76700c41,0.052265408709289585,0.08592802460619489,tradeoff,0.17878319375708163,-192.46456910069492,-6.505906924303417e-14
S025,corridor,transition,102,1070001,1,PR1_HT0_EC1,No-HT,S025@corridor@transition:i102:nsga2:s1070001:r1:PR1_HT1_EC1:f7b5fefe44d6,S025@corridor@transition:i102:nsga2:s1070001:r1:PR1_HT0_EC1:55440403c437,0.024112336601938955,0.057143527227375625,tradeoff,0.18489940170815888,-97.33034058614157,-6.505906924303417e-14
S025,corridor,transition,102,1070001,1,PR1_HT1_EC0,No-EC,S025@corridor@transition:i102:nsga2:s1070001:r1:PR1_HT1_EC1:f7b5fefe44d6,S025@corridor@transition:i102:nsga2:s1070001:r1:PR1_HT1_EC0:4fe4758377fe,6.526924402616707e-07,0.0010013593612837367,same,0.0,0.0,0.0
WEN38,benchmark,original,1,60000,0,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:b9f998d6cc5d,0.44840838129100324,0.10183337678929458,Full_dominates,0.013260862380257699,44813.16666666666,0.2523570011544507
WEN38,benchmark,original,1,60000,0,PR1_HT0_EC1,No-HT,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:ed89f90c2cee,-0.14957061922188586,-0.13269395471547374,tradeoff,-0.18187352411420665,28643.666666666657,-0.010619906149258895
WEN38,benchmark,original,1,60000,0,PR1_HT1_EC0,No-EC,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ac79a73486e1,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:233634bab1fc,0.0,0.0,same,0.0,0.0,0.0
WEN38,benchmark,original,1,60001,1,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:2aca52bb3fb1,0.5286053385071949,0.24034930702289953,Full_dominates,0.14720152673514697,7935.999999999971,0.4430379746845574
WEN38,benchmark,original,1,60001,1,PR1_HT0_EC1,No-HT,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:810cc032fd7d,0.2911150884092567,0.1632204686568387,tradeoff,0.13655177475997116,-4048.333333333343,0.10989894815975276
WEN38,benchmark,original,1,60001,1,PR1_HT1_EC0,No-EC,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:f2ee064e9de3,0.0,0.0,same,0.0,0.0,0.0
