run_key,case_id,suite,source,size_group,num_nodes,instance_seed,solver_seed,solver_repeat,algorithm,model_version,physical_instance_hash,model_fingerprint,decision_hash,evaluations,max_evaluations,termination_reason,proposals,cache_hits,local_search_evaluations,actual_evaluations,unique_decisions,evaluation_snapshots,operator_swap_two_repairs,operator_insert_repair,operator_rebalance_team,operator_swap_two_dispatches,operator_move_high_demand_priority,runtime_seconds,pareto_size,reference_front_size,quality_precision,quality_effective_dimensions,hypervolume,igd,F1,F2,F3,final_total_satisfaction,final_min_satisfaction,average_reachable_ratio,final_repaired_ratio,zero_service_ratio,remaining_supply,total_delivered,unmet_ratio_hours,time_infeasible_candidates,capacity_blocked_tons,total_vehicle_trips
S025@corridor@inactive:i101:nsga2:s1060001:r1:PR1_HT0_EC1:6b766fe2ff8b,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2,v2,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,d7516583c0a6075e4089331c75d2b121a7208aa8bd36ceed1846958bb3ecb73e,2f5eeafea146cb41,500,500,budget_exhausted,527.0,27.0,0.0,500.0,474.0,500.0,,,,,,3.6742154579842463,29,,,,,,4.0120175758104075,4094.9414227207953,-0.8678714859437232,0.8999999999998745,0.8678714859437232,0.8518518518518519,0.25,0.0,8.265033102361485e-11,592.1999999999174,32.09614060648326,0.0,823.9007596657029,59.0
S025@corridor@inactive:i101:nsga2:s1060001:r1:PR1_HT1_EC0:8bbc9a1f3321,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2,v2,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,179b483864702c06d2fd6588dbbdaffaa29d0c92d040844319c17a1c6906a610,cde6c0b29343e286,500,500,budget_exhausted,527.0,27.0,0.0,500.0,470.0,500.0,,,,,,1.5430847909883596,39,,,,,,4.528251717410251,5033.3811674421795,-0.8678714859436998,0.8999999999998567,0.8678714859436998,0.8518518518518519,0.25,0.0,9.43387590268685e-11,592.1999999999057,36.22601373928201,0.0,0.0,70.0
S025@corridor@inactive:i101:nsga2:s1060001:r1:PR1_HT1_EC1:67564d14e5f7,S025,benchmark,synthetic,small,25,101,1060001,1,nsga2,v2,1efe1d1907c2fa4b02522f8fdf5dd2f7ca474637751fc5d683586fd07890f5aa,9d4be61a61fa0afcf9d0e9a7d81c4d0b248ef00c80c717970c5b39a157f09478,cde6c0b29343e286,500,500,budget_exhausted,527.0,27.0,0.0,500.0,470.0,500.0,,,,,,3.0695905839966144,39,,,,,,4.528251717410251,5033.3811674421795,-0.8678714859436998,0.8999999999998567,0.8678714859436998,0.8518518518518519,0.25,0.0,9.43387590268685e-11,592.1999999999057,36.22601373928201,0.0,0.0,70.0
S025@corridor@inactive:i102:nsga2:s1070000:r0:PR0_HT1_EC1:b000292d4414,S025,benchmark,synthetic,small,25,102,1070000,0,nsga2,v2,2e814cd9fcac3903c94a188170ea145cdf0012758210e24bec0ee8270490ed48,40ce0ed53e7fe8c366332bf52a48de218ab766bedae9227d7ad63fe1b278b89f,ec28acedbe95bb7e,500,500,budget_exhausted,529.0,29.0,0.0,500.0,464.0,500.0,,,,,,3.098435749998316,11,,,,,,4.721005461811413,3379.002190434665,-0.8755301794452158,0.899999999999826,0.8755301794452158,0.7777777777777778,0.375,0.0,1.3277201560413232e-10,686.6999999998673,37.768043694491304,0.0,0.0,73.0
S025@corridor@inactive:i102:nsga2:s1070000:r0:PR1_HT0_EC1:d467400fa28a,S025,benchmark,synthetic,small,25,102,1070000,0,nsga2,v2,2e814cd9fcac3903c94a188170ea145cdf0012758210e24bec0ee8270490ed48,2e933b6bebf4435f8501ffbea87ad104adecb83c124d1114cbab9ce29c460af0,bdef86effae56540,500,500,budget_exhausted,529.0,29.0,0.0,500.0,460.0,500.0,,,,,,3.2061278329929337,11,,,,,,3.724113106199151,3913.617939373897,-0.8999999999999353,0.8999999999999354,0.8999999999999353,0.925925925925926,0.375,0.0,4.941114184475737e-11,686.6999999999507,29.792904849593207,0.0,0.0,79.0
S025@corridor@inactive:i102:nsga2:s1070000:r0:PR1_HT1_EC0:bac39318c609,S025,benchmark,synthetic,small,25,102,1070000,0,nsga2,v2,2e814cd9fcac3903c94a188170ea145cdf0012758210e24bec0ee8270490ed48,8efcc5ef502f2a9c0958acfa656708af9cb56924654883555f3396bf165cc52f,0d9d3152bdf41867,500,500,budget_exhausted,529.0,29.0,0.0,500.0,471.0,500.0,,,,,,1.535254333022749,50,,,,,,4.211523217373897,4285.524384253617,-0.8755301794451508,0.8999999999998395,0.8755301794451508,0.925925925925926,0.375,0.0,1.2255441106390208e-10,686.6999999998775,33.69218573899118,0.0,0.0,84.0
S025@corridor@inactive:i102:nsga2:s1070000:r0:PR1_HT1_EC1:5ea31455e620,S025,benchmark,synthetic,small,25,102,1070000,0,nsga2,v2,2e814cd9fcac3903c94a188170ea145cdf0012758210e24bec0ee8270490ed48,326f76e99f5143fa83843f2e539e46bdb3745f86f7124dfcaa5f774bc9992662,0d9d3152bdf41867,500,500,budget_exhausted,529.0,29.0,0.0,500.0,471.0,500.0,,,,,,3.188516125024762,50,,,,,,4.211523217373897,4285.524384253617,-0.8755301794451508,0.8999999999998395,0.8755301794451508,0.925925925925926,0.375,0.0,1.2255441106390208e-10,686.6999999998775,33.69218573899118,0.0,0.0,84.0
S025@corridor@inactive:i102:nsga2:s1070001:r1:PR0_HT1_EC1:058a193aaa0a,S025,benchmark,synthetic,small,25,102,1070001,1,nsga2,v2,2e814cd9fcac3903c94a188170ea145cdf0012758210e24bec0ee8270490ed48,40ce0ed53e7fe8c366332bf52a48de218ab766bedae9227d7ad63fe1b278b89f,1ef01e5e00d2b089,500,500,budget_exhausted,528.0,28.0,0.0,500.0,459.0,500.0,,,,,,3.0711652080062777,8,,,,,,4.721005461811413,3379.002190434665,-0.8755301794452158,0.899999999999826,0.8755301794452158,0.7777777777777778,0.375,0.0,1.3277201560413232e-10,686.6999999998673,37.768043694491304,0.0,0.0,73.0
S025@corridor@inactive:i102:nsga2:s1070001:r1:PR1_HT0_EC1:2dd37455a867,S025,benchmark,synthetic,small,25,102,1070001,1,nsga2,v2,2e814cd9fcac3903c94a188170ea145cdf0012758210e24bec0ee8270490ed48,2e933b6bebf4435f8501ffbea87ad104adecb83c124d1114cbab9ce29c460af0,a1ec65e0f543a200,500,500,budget_exhausted,528.0,28.0,0.0,500.0,439.0,500.0,,,,,,3.135929790994851,8,,,,,,3.724113106199151,3913.617939373897,-0.8999999999999353,0.8999999999999354,0.8999999999999353,0.925925925925926,0.375,0.0,4.941114184475737e-11,686.6999999999507,29.792904849593207,0.0,0.0,79.0
S025@corridor@inactive:i102:nsga2:s1070001:r1:PR1_HT1_EC0:a0d4a79acbb1,S025,benchmark,synthetic,small,25,102,1070001,1,nsga2,v2,2e814cd9fcac3903c94a188170ea145cdf0012758210e24bec0ee8270490ed48,8efcc5ef502f2a9c0958acfa656708af9cb56924654883555f3396bf165cc52f,bd0f9cccf9ba143f,500,500,budget_exhausted,528.0,28.0,0.0,500.0,469.0,500.0,,,,,,1.5361589590029325,42,,,,,,4.211523217373897,4285.524384253617,-0.8755301794451508,0.8999999999998395,0.8755301794451508,0.925925925925926,0.25,0.0,1.2255441106390208e-10,686.6999999998775,33.69218573899118,0.0,0.0,84.0
