zone,capacity_scale,case_id,instance_seed,solver_seed,solver_repeat,algorithm,model_id,evaluations,termination_reason,pareto_size,planning_F1,planning_F2,planning_F3
transition,0.0016781874534517343,S025,102,1070000,0,nsga2,PR1_HT0_EC1,500,budget_exhausted,19,3.8955387140397315,3973.8086358110254,-0.8977095516567817
transition,0.0016781874534517343,S025,102,1070000,0,nsga2,PR1_HT1_EC0,500,budget_exhausted,50,4.211523217373897,4285.524384253617,-0.8755301794451508
transition,0.0016781874534517343,S025,102,1070001,1,nsga2,PR1_HT1_EC1,500,budget_exhausted,44,4.211523217373897,4285.524384253617,-0.8755301794451508
transition,0.0016781874534517343,S025,102,1070001,1,nsga2,PR0_HT1_EC1,500,budget_exhausted,8,4.721005461811413,3379.002190434665,-0.8755301794452158
transition,0.0016781874534517343,S025,102,1070001,1,nsga2,PR1_HT0_EC1,500,budget_exhausted,20,3.956543397614529,4022.9207661031073,-0.8977095516567655
transition,0.0016781874534517343,S025,102,1070001,1,nsga2,PR1_HT1_EC0,500,budget_exhausted,42,4.211523217373897,4285.524384253617,-0.8755301794451508
binding,0.0005782474837716209,S025,102,1070000,0,nsga2,PR1_HT1_EC1,500,budget_exhausted,36,4.667452695887644,4306.980980790693,-0.7853403141361257
binding,0.0005782474837716209,S025,102,1070000,0,nsga2,PR0_HT1_EC1,500,budget_exhausted,25,5.133333707910856,3558.7017038626827,-0.7068062827225131
binding,0.0005782474837716209,S025,102,1070000,0,nsga2,PR1_HT0_EC1,500,budget_exhausted,42,4.612104676948171,4293.190998286051,-0.7853403141361257
binding,0.0005782474837716209,S025,102,1070000,0,nsga2,PR1_HT1_EC0,500,budget_exhausted,50,4.211523217373897,4285.524384253617,-0.8755301794451508
binding,0.0005782474837716209,S025,102,1070001,1,nsga2,PR1_HT1_EC1,500,budget_exhausted,36,4.568214100407843,4307.993124762185,-0.8638743455497382
binding,0.0005782474837716209,S025,102,1070001,1,nsga2,PR0_HT1_EC1,500,budget_exhausted,23,5.133333707910856,3595.0664797445843,-0.7068062827225131
binding,0.0005782474837716209,S025,102,1070001,1,nsga2,PR1_HT0_EC1,500,budget_exhausted,43,4.612104676948171,4167.237751368348,-0.7853403141361257
binding,0.0005782474837716209,S025,102,1070001,1,nsga2,PR1_HT1_EC0,500,budget_exhausted,42,4.211523217373897,4285.524384253617,-0.8755301794451508
