zone,capacity_scale,case_id,instance_seed,solver_seed,solver_repeat,model_id,solution_index,decision_hash,is_full_planning_model,planning_F1,planning_F2,planning_F3,execution_F1,execution_F2,execution_F3,execution_minus_planning_F1,execution_minus_planning_F2,execution_minus_planning_F3
inactive,0.007862340528634104,S025,102,1070001,1,PR1_HT1_EC0,39,22e56564b13fe6c0,False,7.234783420530259,927.9534440252401,-0.0,7.234783420530259,927.9534440252401,-0.0,0.0,0.0,0.0
inactive,0.007862340528634104,S025,102,1070001,1,PR1_HT1_EC0,40,951aeff294510a56,False,7.246970225000428,868.0126994385129,-0.0,7.246970225000428,868.0126994385129,-0.0,0.0,0.0,0.0
inactive,0.007862340528634104,S025,102,1070001,1,PR1_HT1_EC0,41,eda5f50914e3d853,False,7.235980720618634,893.8221366006355,-0.0,7.235980720618634,893.8221366006355,-0.0,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,0,42ce622f2263979e,True,4.215202153176456,4208.837989192714,-0.8755301794452136,4.215202153176456,4208.837989192714,-0.8755301794452136,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,1,01fd922e6c6bab01,True,4.242581553045056,4080.301270960677,-0.8755301794452139,4.242581553045056,4080.301270960677,-0.8755301794452139,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,2,96f82c4bc0e9d293,True,4.211523217373897,4285.524384253617,-0.8755301794451508,4.211523217373897,4285.524384253617,-0.8755301794451508,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,3,42bb8af4a0f11844,True,4.241883126193066,4176.381608331334,-0.8755301794452233,4.241883126193066,4176.381608331334,-0.8755301794452233,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,4,e9436986301a756e,True,4.328848892747315,4071.847026242334,-0.875530179445167,4.328848892747315,4071.847026242334,-0.875530179445167,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,5,9c3658b2a0db775f,True,4.2033467442665,4335.258567662476,-0.8755301794452136,4.2033467442665,4335.258567662476,-0.8755301794452136,0.0,0.0,0.0
transition,0.0016781874534517343,S025,102,1070000,0,PR1_HT1_EC1,6,805ae7aaab738d78,True,5.190415718365358,3443.5610616104673,-0.7853403141361257,5.190415718365358,3443.5610616104673,-0.7853403141361257,0.0,0.0,0.0
