scenario,case_id,instance_seed,fleet_multiplier,capacity_scale,supply_multiplier,max_edge_utilization,capacity_reroutes,EC_changed_objective,EC_delta_F1,EC_delta_F2,F1,F2,total_delivered,remaining_supply,unused_vehicle_trips
S025_random_random,S025,1,2.0,0.01,0.5,0.10607906231777119,0,False,0.0,0.0,5.146324662566231,1494.8819925338878,487.7999999998028,1.972182417375734e-10,237
S025_random_random,S025,1,2.0,0.005,0.5,0.21215812463554237,0,False,0.0,0.0,5.146324662566231,1494.8819925338878,487.7999999998028,1.972182417375734e-10,237
S025_random_random,S025,1,2.0,0.002,0.5,0.5303953115888559,0,False,0.0,0.0,5.146324662566231,1494.8819925338878,487.7999999998028,1.972182417375734e-10,237
S025_random_random,S025,1,2.0,0.001,0.5,0.9884639897792316,2,True,0.0,-34.85827896801834,5.146324662566231,1529.7402715019061,487.7999999998028,1.972182417375734e-10,236
S025_random_random,S025,1,4.0,0.05,0.5,0.032788073807311094,0,False,0.0,0.0,4.950000000001637,1319.4024102881297,487.7999999998028,1.972182417375734e-10,535
S025_random_random,S025,1,4.0,0.01,0.5,0.16394036903655548,0,False,0.0,0.0,4.950000000001637,1319.4024102881297,487.7999999998028,1.972182417375734e-10,535
S025_random_random,S025,1,4.0,0.005,0.5,0.32788073807311097,0,False,0.0,0.0,4.950000000001637,1319.4024102881297,487.7999999998028,1.972182417375734e-10,535
S025_random_random,S025,1,4.0,0.002,0.5,0.8197018451827773,0,False,0.0,0.0,4.950000000001637,1319.4024102881297,487.7999999998028,1.972182417375734e-10,535
S025_random_random,S025,1,4.0,0.001,0.5,0.9884639897792316,2,True,0.0,-100.73357494016454,4.950000000001637,1420.1359852282942,487.7999999998028,1.972182417375734e-10,535
S025_random_random,S025,1,0.5,0.05,1.0,0.0057861306718784275,0,False,0.0,0.0,7.320723463728842,1762.830001463954,328.2377423326179,647.3622576673822,0
S025_random_random,S025,1,0.5,0.01,1.0,0.02893065335939214,0,False,0.0,0.0,7.320723463728842,1762.830001463954,328.2377423326179,647.3622576673822,0
S025_random_random,S025,1,0.5,0.005,1.0,0.05786130671878428,0,False,0.0,0.0,7.320723463728842,1762.830001463954,328.2377423326179,647.3622576673822,0
S025_random_random,S025,1,0.5,0.002,1.0,0.14465326679696072,0,False,0.0,0.0,7.320723463728842,1762.830001463954,328.2377423326179,647.3622576673822,0
S025_random_random,S025,1,0.5,0.001,1.0,0.28930653359392144,0,False,0.0,0.0,7.320723463728842,1762.830001463954,328.2377423326179,647.3622576673822,0
S025_random_random,S025,1,1.0,0.05,1.0,0.019287102239594758,0,False,0.0,0.0,4.016589458738497,3234.6163944678465,975.5999999999179,8.218137281801319e-11,14
S025_random_random,S025,1,1.0,0.01,1.0,0.0964355111979738,0,False,0.0,0.0,4.016589458738497,3234.6163944678465,975.5999999999179,8.218137281801319e-11,14
S025_random_random,S025,1,1.0,0.005,1.0,0.1928710223959476,0,False,0.0,0.0,4.016589458738497,3234.6163944678465,975.5999999999179,8.218137281801319e-11,14
S025_random_random,S025,1,1.0,0.002,1.0,0.48217755598986906,0,False,0.0,0.0,4.016589458738497,3234.6163944678465,975.5999999999179,8.218137281801319e-11,14
S025_random_random,S025,1,1.0,0.001,1.0,0.9643551119797381,0,False,0.0,0.0,4.016589458738497,3234.6163944678465,975.5999999999179,8.218137281801319e-11,14
S025_random_random,S025,1,2.0,0.05,1.0,0.029895008471371876,0,False,0.0,0.0,2.026759326795723,2730.506561127569,975.5999999999704,2.9672264645341784e-11,180
S025_random_random,S025,1,2.0,0.01,1.0,0.1494750423568594,0,False,0.0,0.0,2.026759326795723,2730.506561127569,975.5999999999704,2.9672264645341784e-11,180
S025_random_random,S025,1,2.0,0.005,1.0,0.2989500847137188,0,False,0.0,0.0,2.026759326795723,2730.506561127569,975.5999999999704,2.9672264645341784e-11,180
S025_random_random,S025,1,2.0,0.002,1.0,0.747375211784297,0,False,0.0,0.0,2.026759326795723,2730.506561127569,975.5999999999704,2.9672264645341784e-11,180
S025_random_random,S025,1,2.0,0.001,1.0,0.9884639897792316,6,True,0.0,-34.419717350504015,2.026759326795723,2764.926278478073,975.5999999999704,2.9672264645341784e-11,180
S025_random_random,S025,1,4.0,0.05,1.0,0.04773557804299703,0,False,0.0,0.0,1.25014922301178,2358.6168625336295,975.5999999993368,6.633484872509143e-10,483
S025_random_random,S025,1,4.0,0.01,1.0,0.23867789021498517,0,False,0.0,0.0,1.25014922301178,2358.6168625336295,975.5999999993368,6.633484872509143e-10,483
S025_random_random,S025,1,4.0,0.005,1.0,0.47735578042997034,0,False,0.0,0.0,1.25014922301178,2358.6168625336295,975.5999999993368,6.633484872509143e-10,483
S025_random_random,S025,1,4.0,0.002,1.0,0.9764095508794848,2,True,0.0,-19.464954894045604,1.25014922301178,2378.081817427675,975.5999999993368,6.633484872509143e-10,483
S025_random_random,S025,1,4.0,0.001,1.0,0.9945905948352649,11,True,-0.004612546121272709,-638.5448671862196,1.2547617691330528,2997.161729719849,975.5999999999043,9.57669499257463e-11,482
S025_random_random,S025,1,0.5,0.05,1.5,0.0057861306718784275,0,False,0.0,0.0,7.320723463728842,1762.830001463954,328.2377423326179,1135.1622576673822,0
S025_random_random,S025,1,0.5,0.01,1.5,0.02893065335939214,0,False,0.0,0.0,7.320723463728842,1762.830001463954,328.2377423326179,1135.1622576673822,0
S025_random_random,S025,1,0.5,0.005,1.5,0.05786130671878428,0,False,0.0,0.0,7.320723463728842,1762.830001463954,328.2377423326179,1135.1622576673822,0
S025_random_random,S025,1,0.5,0.002,1.5,0.14465326679696072,0,False,0.0,0.0,7.320723463728842,1762.830001463954,328.2377423326179,1135.1622576673822,0
S025_random_random,S025,1,0.5,0.001,1.5,0.28930653359392144,0,False,0.0,0.0,7.320723463728842,1762.830001463954,328.2377423326179,1135.1622576673822,0
S025_random_random,S025,1,1.0,0.05,1.5,0.015331326312152116,0,False,0.0,0.0,3.8522762357218596,3329.1839922725762,1083.999999999826,379.40000000017426,0
S025_random_random,S025,1,1.0,0.01,1.5,0.07665663156076058,0,False,0.0,0.0,3.8522762357218596,3329.1839922725762,1083.999999999826,379.40000000017426,0
S025_random_random,S025,1,1.0,0.005,1.5,0.15331326312152116,0,False,0.0,0.0,3.8522762357218596,3329.1839922725762,1083.999999999826,379.40000000017426,0
S025_random_random,S025,1,1.0,0.002,1.5,0.38328315780380284,0,False,0.0,0.0,3.8522762357218596,3329.1839922725762,1083.999999999826,379.40000000017426,0
S025_random_random,S025,1,1.0,0.001,1.5,0.7665663156076057,0,False,0.0,0.0,3.8522762357218596,3329.1839922725762,1083.999999999826,379.40000000017426,0
S025_random_random,S025,1,2.0,0.05,1.5,0.024108877799493448,0,False,0.0,0.0,1.4383363971722916,2842.3393080799856,1083.9999999991635,379.4000000008366,168
S025_random_random,S025,1,2.0,0.01,1.5,0.12054438899746726,0,False,0.0,0.0,1.4383363971722916,2842.3393080799856,1083.9999999991635,379.4000000008366,168
S025_random_random,S025,1,2.0,0.005,1.5,0.24108877799493453,0,False,0.0,0.0,1.4383363971722916,2842.3393080799856,1083.9999999991635,379.4000000008366,168
S025_random_random,S025,1,2.0,0.002,1.5,0.6027219449873363,0,False,0.0,0.0,1.4383363971722916,2842.3393080799856,1083.9999999991635,379.4000000008366,168
S025_random_random,S025,1,2.0,0.001,1.5,0.9884639897792316,5,True,0.0,-23.790500426055587,1.4383363971722916,2866.129808506041,1083.9999999991635,379.4000000008366,168
S025_random_random,S025,1,4.0,0.05,1.5,0.0419494473711186,0,False,0.0,0.0,0.438426764349369,2642.6764715759628,1083.999999999014,379.400000000986,467
S025_random_random,S025,1,4.0,0.01,1.5,0.20974723685559302,0,False,0.0,0.0,0.438426764349369,2642.6764715759628,1083.999999999014,379.400000000986,467
S025_random_random,S025,1,4.0,0.005,1.5,0.41949447371118603,0,False,0.0,0.0,0.438426764349369,2642.6764715759628,1083.999999999014,379.400000000986,467
S025_random_random,S025,1,4.0,0.002,1.5,0.9884639897792316,1,True,0.0,-6.488318298015201,0.438426764349369,2649.164789873978,1083.999999999014,379.400000000986,467
S025_random_random,S025,1,4.0,0.001,1.5,0.9945905948352649,17,True,-0.004612546125461248,-777.5858633649514,0.44303931047483025,3420.262334940914,1083.999999999014,379.400000000986,466
S025_random_random,S025,1,0.5,0.05,2.0,0.0057861306718784275,0,False,0.0,0.0,7.320723463728842,1762.830001463954,328.2377423326179,1622.9622576673823,0
S025_random_random,S025,1,0.5,0.01,2.0,0.02893065335939214,0,False,0.0,0.0,7.320723463728842,1762.830001463954,328.2377423326179,1622.9622576673823,0
S025_random_random,S025,1,0.5,0.005,2.0,0.05786130671878428,0,False,0.0,0.0,7.320723463728842,1762.830001463954,328.2377423326179,1622.9622576673823,0
S025_random_random,S025,1,0.5,0.002,2.0,0.14465326679696072,0,False,0.0,0.0,7.320723463728842,1762.830001463954,328.2377423326179,1622.9622576673823,0
S025_random_random,S025,1,0.5,0.001,2.0,0.28930653359392144,0,False,0.0,0.0,7.320723463728842,1762.830001463954,328.2377423326179,1622.9622576673823,0
S025_random_random,S025,1,1.0,0.05,2.0,0.020523767826589424,0,False,0.0,0.0,3.8653160186122713,3138.5988659482286,1083.9999999993129,867.2000000006875,0
S025_random_random,S025,1,1.0,0.01,2.0,0.10261883913294712,0,False,0.0,0.0,3.8653160186122713,3138.5988659482286,1083.9999999993129,867.2000000006875,0
S025_random_random,S025,1,1.0,0.005,2.0,0.20523767826589423,0,False,0.0,0.0,3.8653160186122713,3138.5988659482286,1083.9999999993129,867.2000000006875,0
S025_random_random,S025,1,1.0,0.002,2.0,0.5130941956647356,0,False,0.0,0.0,3.8653160186122713,3138.5988659482286,1083.9999999993129,867.2000000006875,0
S025_random_random,S025,1,1.0,0.001,2.0,0.9369546181703868,1,True,0.0,-11.855964541777212,3.8653160186122713,3150.454830490006,1083.9999999993129,867.2000000006875,0
S025_random_random,S025,1,2.0,0.05,2.0,0.024108877799493448,0,False,0.0,0.0,1.4339979178088085,2673.3418750828846,1083.9999999990887,867.2000000009116,169
S025_random_random,S025,1,2.0,0.01,2.0,0.12054438899746726,0,False,0.0,0.0,1.4339979178088085,2673.3418750828846,1083.9999999990887,867.2000000009116,169
S025_random_random,S025,1,2.0,0.005,2.0,0.24108877799493453,0,False,0.0,0.0,1.4339979178088085,2673.3418750828846,1083.9999999990887,867.2000000009116,169
S025_random_random,S025,1,2.0,0.002,2.0,0.6027219449873363,0,False,0.0,0.0,1.4339979178088085,2673.3418750828846,1083.9999999990887,867.2000000009116,169
S025_random_random,S025,1,2.0,0.001,2.0,0.9884639897792316,6,True,0.0,-47.502429509609556,1.4339979178088085,2720.844304592494,1083.9999999990887,867.2000000009116,169
S025_random_random,S025,1,4.0,0.05,2.0,0.0419494473711186,0,False,0.0,0.0,0.438426764349369,2414.4796285818293,1083.999999999014,867.200000000986,470
S025_random_random,S025,1,4.0,0.01,2.0,0.20974723685559302,0,False,0.0,0.0,0.438426764349369,2414.4796285818293,1083.999999999014,867.200000000986,470
S025_random_random,S025,1,4.0,0.005,2.0,0.41949447371118603,0,False,0.0,0.0,0.438426764349369,2414.4796285818293,1083.999999999014,867.200000000986,470
S025_random_random,S025,1,4.0,0.002,2.0,0.9884639897792316,1,True,0.0,-6.488318298015656,0.438426764349369,2420.967946879845,1083.999999999014,867.200000000986,470
S025_random_random,S025,1,4.0,0.001,2.0,0.9884639897792316,13,True,-0.004612546125461248,-768.5004477511507,0.44303931047483025,3182.98007633298,1083.999999999014,867.200000000986,469
S025_random_random,S025,2,0.5,0.05,0.5,0.009466315651612366,0,False,0.0,0.0,7.394122741768264,1758.2440051827925,355.99725867644975,186.25274132355025,0
S025_random_random,S025,2,0.5,0.01,0.5,0.04733157825806183,0,False,0.0,0.0,7.394122741768264,1758.2440051827925,355.99725867644975,186.25274132355025,0
