topology_cell,topology_description,scenario,case_id,instance_seed,decision,graph_bridge_count,damaged_bridge_count,bridge_gated_demand_count,F1,F2,F3,PR_allocations_changed,PR_same_decision_changed,PR_delta_F1,PR_delta_F2,HT_allocations_changed,HT_same_decision_changed,HT_delta_F1,HT_delta_F2,EC_allocations_changed,EC_same_decision_changed,EC_delta_F1,EC_delta_F2,max_edge_utilization,partial_edge_periods,partial_edge_used_periods,threshold_sensitive_od_periods
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,2,spt,0,0,0,4.289539727310797,2767.3411621016407,-0.8999999999998842,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.021766595312864068,11,0,0
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,2,random_0,0,0,0,4.246224183695554,2930.9913334343078,-0.899999999999963,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.02691973384235432,13,0,0
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,2,random_1,0,0,0,4.046731319594398,2964.464777891392,-0.8999999999995353,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.03727382320648791,10,0,0
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,2,random_2,0,0,0,4.24889723940096,2806.478779334445,-0.8999999999998521,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.03067111157721755,10,0,0
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,2,random_3,0,0,0,4.66954792961692,2835.5882547780257,-0.6077348066298343,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.0236893657812718,11,0,0
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,101,spt,0,0,0,4.372161751475067,4366.011978801771,-0.8999999999999714,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.036079456969973465,11,0,0
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,101,random_0,0,0,0,4.127971825784703,4004.943162315134,-0.8999999999995663,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.0270595927274801,11,0,0
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,101,random_1,0,0,0,4.592064134003345,4142.628257169474,-0.7957775382816181,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.02593210969716843,11,0,0
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,101,random_2,0,0,0,4.352492383824317,4238.265468239568,-0.7731958762886598,1,True,0.0,1.818389234013921,0,False,0.0,0.0,0,False,0.0,0.0,0.03946190606090848,12,1,0
fourcell_critical_separated,"critical damage requested, separated roles",critical_separated,S025,101,random_3,0,0,0,4.283244795698365,4343.574843000088,-0.8999999999996535,0,False,0.0,0.0,0,False,0.0,0.0,0,False,0.0,0.0,0.0349519739396618,9,0,0
