max_evaluations,case_id,scenario_family,zone,instance_seed,solver_seed,solver_repeat,model_id,model,run_key,physical_instance_hash,period,end_hours,total_satisfaction,min_satisfaction,zero_service_ratio,remaining_supply,remaining_supply_1,remaining_supply_2,remaining_supply_3,planning_model,period_end_hours
500,WEN38,benchmark,original,1,60001,1,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:2aca52bb3fb1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,16,0.6298772555938954,0.0,0.2857142857142857,1889.9455388561091,891.1714070089984,998.7741318471108,0.0,No-PR,16
500,WEN38,benchmark,original,1,60001,1,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:2aca52bb3fb1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,3,24,0.6960489014878867,0.0,0.2857142857142857,1143.0000000047362,468.57992480156815,674.420075203168,0.0,No-PR,24
500,WEN38,benchmark,original,1,60001,1,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:2aca52bb3fb1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,4,32,0.6960489014878867,0.0,0.2857142857142857,1143.0000000047362,468.57992480156815,674.420075203168,0.0,No-PR,32
500,WEN38,benchmark,original,1,60001,1,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:2aca52bb3fb1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,5,40,0.6960489014878867,0.0,0.2857142857142857,1143.0000000047362,468.57992480156815,674.420075203168,0.0,No-PR,40
500,WEN38,benchmark,original,1,60001,1,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:2aca52bb3fb1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,6,48,0.7973068745570211,0.0,0.17142857142857143,3.4515323932282627e-10,0.0,3.4515323932282627e-10,0.0,No-PR,48
500,WEN38,benchmark,original,1,60001,1,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:2aca52bb3fb1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,7,56,0.7973068745570211,0.0,0.17142857142857143,3.4515323932282627e-10,0.0,3.4515323932282627e-10,0.0,No-PR,56
500,WEN38,benchmark,original,1,60001,1,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:2aca52bb3fb1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,8,64,0.7973068745570211,0.0,0.17142857142857143,3.4515323932282627e-10,0.0,3.4515323932282627e-10,0.0,No-PR,64
500,WEN38,benchmark,original,1,60001,1,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:2aca52bb3fb1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,9,72,0.7973068745570211,0.0,0.17142857142857143,3.4515323932282627e-10,0.0,3.4515323932282627e-10,0.0,No-PR,72
500,WEN38,benchmark,original,1,60001,1,PR1_HT0_EC1,No-HT,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:810cc032fd7d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,1,8,0.31957471619692046,0.0,0.45714285714285713,5392.640603569162,1849.1426611805582,1761.6049382724668,1781.8930041161366,No-HT,8
500,WEN38,benchmark,original,1,60001,1,PR1_HT0_EC1,No-HT,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:810cc032fd7d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,16,0.6377569099923509,0.0,0.34285714285714286,1801.0000000063428,167.0000000025766,957.0000000016535,677.0000000021128,No-HT,16
500,WEN38,benchmark,original,1,60001,1,PR1_HT0_EC1,No-HT,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:810cc032fd7d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,3,24,0.6960489014876731,0.0,0.2857142857142857,1143.000000007146,0.0,620.0000000021646,523.0000000049813,No-HT,24
500,WEN38,benchmark,original,1,60001,1,PR1_HT0_EC1,No-HT,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:810cc032fd7d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,4,32,0.6960489014876731,0.0,0.2857142857142857,1143.000000007146,0.0,620.0000000021646,523.0000000049813,No-HT,32
500,WEN38,benchmark,original,1,60001,1,PR1_HT0_EC1,No-HT,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:810cc032fd7d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,5,40,0.6960489014876731,0.0,0.2857142857142857,1143.000000007146,0.0,620.0000000021646,523.0000000049813,No-HT,40
500,WEN38,benchmark,original,1,60001,1,PR1_HT0_EC1,No-HT,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:810cc032fd7d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,6,48,0.7973068745570037,0.33313902652480465,0.0,5.411493475548923e-10,0.0,5.411493475548923e-10,0.0,No-HT,48
500,WEN38,benchmark,original,1,60001,1,PR1_HT0_EC1,No-HT,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:810cc032fd7d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,7,56,0.7973068745570037,0.33313902652480465,0.0,5.411493475548923e-10,0.0,5.411493475548923e-10,0.0,No-HT,56
500,WEN38,benchmark,original,1,60001,1,PR1_HT0_EC1,No-HT,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:810cc032fd7d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,8,64,0.7973068745570037,0.33313902652480465,0.0,5.411493475548923e-10,0.0,5.411493475548923e-10,0.0,No-HT,64
500,WEN38,benchmark,original,1,60001,1,PR1_HT0_EC1,No-HT,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:810cc032fd7d,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,9,72,0.7973068745570037,0.33313902652480465,0.0,5.411493475548923e-10,0.0,5.411493475548923e-10,0.0,No-HT,72
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC0,No-EC,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:f2ee064e9de3,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,1,8,0.31819240165674845,0.0,0.45714285714285713,5408.244170098624,1586.4883401931002,2316.7181069963954,1505.0377229091282,No-EC,8
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC0,No-EC,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:f2ee064e9de3,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,16,0.6331502480507015,0.0,0.34285714285714286,1853.0000000036807,414.00000000235195,1439.0000000013288,0.0,No-EC,16
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC0,No-EC,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:f2ee064e9de3,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,3,24,0.6360737065905168,0.0,0.34285714285714286,1820.0000000062473,414.00000000235195,1406.0000000038954,0.0,No-EC,24
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC0,No-EC,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:f2ee064e9de3,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,4,32,0.7973068745570517,0.4430379746845574,0.0,0.0,0.0,0.0,0.0,No-EC,32
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC0,No-EC,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:f2ee064e9de3,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,5,40,0.7973068745570517,0.4430379746845574,0.0,0.0,0.0,0.0,0.0,No-EC,40
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC0,No-EC,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:f2ee064e9de3,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,6,48,0.7973068745570517,0.4430379746845574,0.0,0.0,0.0,0.0,0.0,No-EC,48
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC0,No-EC,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:f2ee064e9de3,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,7,56,0.7973068745570517,0.4430379746845574,0.0,0.0,0.0,0.0,0.0,No-EC,56
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC0,No-EC,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:f2ee064e9de3,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,8,64,0.7973068745570517,0.4430379746845574,0.0,0.0,0.0,0.0,0.0,No-EC,64
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC0,No-EC,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:f2ee064e9de3,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,9,72,0.7973068745570517,0.4430379746845574,0.0,0.0,0.0,0.0,0.0,No-EC,72
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,1,8,0.31819240165674845,0.0,0.45714285714285713,5408.244170098624,1586.4883401931002,2316.7181069963954,1505.0377229091282,Full,8
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,16,0.6331502480507015,0.0,0.34285714285714286,1853.0000000036807,414.00000000235195,1439.0000000013288,0.0,Full,16
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,3,24,0.6360737065905168,0.0,0.34285714285714286,1820.0000000062473,414.00000000235195,1406.0000000038954,0.0,Full,24
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,4,32,0.7973068745570517,0.4430379746845574,0.0,0.0,0.0,0.0,0.0,Full,32
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,5,40,0.7973068745570517,0.4430379746845574,0.0,0.0,0.0,0.0,0.0,Full,40
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,6,48,0.7973068745570517,0.4430379746845574,0.0,0.0,0.0,0.0,0.0,Full,48
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,7,56,0.7973068745570517,0.4430379746845574,0.0,0.0,0.0,0.0,0.0,Full,56
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,8,64,0.7973068745570517,0.4430379746845574,0.0,0.0,0.0,0.0,0.0,Full,64
500,WEN38,benchmark,original,1,60001,1,PR1_HT1_EC1,Full,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:ceb9ada93d38,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,9,72,0.7973068745570517,0.4430379746845574,0.0,0.0,0.0,0.0,0.0,Full,72
500,WEN38,benchmark,original,1,60002,2,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60002:r2:PR0_HT1_EC1:7b250956fe84,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,1,8,0.31937268561028137,0.0,0.45714285714285713,5394.921124831144,2047.085048011686,1761.9821673533806,1585.8539094660773,No-PR,8
500,WEN38,benchmark,original,1,60002,2,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60002:r2:PR0_HT1_EC1:7b250956fe84,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,2,16,0.5166548547126596,0.0,0.45714285714285713,3168.0000000034975,1498.0000000009009,899.0000000012599,771.0000000013366,No-PR,16
500,WEN38,benchmark,original,1,60002,2,PR0_HT1_EC1,No-PR,WEN38:i1:nsga2:s60002:r2:PR0_HT1_EC1:7b250956fe84,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,3,24,0.5483699503894558,0.0,0.42857142857142855,2810.000000003823,1498.0000000009009,541.0000000015855,771.0000000013366,No-PR,24
