run_key,case_id,instance_seed,solver_seed,solver_repeat,model_id,physical_instance_hash,scenario_family,zone,planning_model,max_evaluations,evaluations,runtime_seconds,termination_reason,reused_from_pilot,saved_decisions,planning_front_size,execution_front_size,planning_hypervolume,planning_igd,execution_hypervolume,execution_igd,representative_decision_hash,representative_planning_F1,representative_planning_F2,representative_planning_F3,representative_execution_F1,representative_execution_F2,representative_execution_F3,execution_min_satisfaction,execution_total_satisfaction,execution_zero_service_ratio,execution_remaining_supply
WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:851e264b20f4,WEN38,1,60000,0,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,2000,2000,95.00125116700656,budget_exhausted,False,50,50,13,0.8592588242721972,0.089070507159664,0.3643295343748021,0.3896156498361695,b9ad304c28e68e9c,2.7445338726013384,113772.0,-0.5210383085623107,2.524034226959743,107258.0,-0.0,0.0,0.7973068745570063,0.11428571428571428,5.129550117999315e-10
WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:7506b3adc82a,WEN38,1,60000,0,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,2000,2000,104.49383937500534,budget_exhausted,False,44,44,23,0.7703638274923934,0.17159552999356756,0.8926785896481455,0.16901253075144912,a57bb13cfbc1909d,2.4702663118997696,145044.0,-0.7973068745568526,2.4702663118997696,145845.0,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:19d5b96ee482,WEN38,1,60000,0,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,2000,2000,46.841877624974586,budget_exhausted,False,36,36,36,0.9314697371705977,0.11712386956679398,0.9103485319082216,0.14808801018132484,02ba78d345248a7f,2.46755044581937,136413.66666666666,-0.7973068745568526,2.46755044581937,136413.66666666666,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ed30a9d4a9ff,WEN38,1,60000,0,PR1_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,Full,2000,2000,96.04528725001728,budget_exhausted,False,36,36,36,0.9314697371705977,0.11712386956679398,0.9103485319082216,0.14808801018132484,02ba78d345248a7f,2.46755044581937,136413.66666666666,-0.7973068745568526,2.46755044581937,136413.66666666666,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:234cd11ee600,WEN38,1,60001,1,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,2000,2000,97.63387766599772,budget_exhausted,False,58,58,16,0.7642682761225096,0.16357247458081725,0.5255466407891348,0.30833698768765266,42d75fcb6150b3c5,2.91828199994546,115827.0,-0.4932447397568467,2.7113365711717288,132297.6666666667,-0.06267922982624441,0.06267922982624441,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:e483dd3402ce,WEN38,1,60001,1,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,2000,2000,112.22434970899485,budget_exhausted,False,44,44,34,0.6600446095564556,0.18572349475946626,0.7338071687929935,0.19987586118567596,185cebb7ecaefdd0,2.4720390603123388,128983.66666666667,-0.5891428042641564,2.4720390603123388,140689.6666666667,-0.5891428042641564,0.5891428042641564,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:4e6755c4f558,WEN38,1,60001,1,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,2000,2000,44.46948908298509,budget_exhausted,False,47,47,47,0.8612696909212726,0.1499634422408161,0.8571855475529364,0.1668011654195113,f3b8077a89655cbc,2.4686039062516434,129084.33333333333,-0.7973068745568526,2.4686039062516434,129084.33333333333,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:742a07617751,WEN38,1,60001,1,PR1_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,Full,2000,2000,97.91236274997937,budget_exhausted,False,47,47,47,0.8612696909212726,0.1499634422408161,0.8571855475529364,0.1668011654195113,f3b8077a89655cbc,2.4686039062516434,129084.33333333333,-0.7973068745568526,2.4686039062516434,129084.33333333333,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60002:r2:PR0_HT1_EC1:1f998f0148e6,WEN38,1,60002,2,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,2000,2000,95.80347870799596,budget_exhausted,False,51,51,13,0.7790377942313869,0.13401642316393772,0.4434402381442445,0.3534281763516595,c461f8f9acdd8e62,2.9869989519947007,95807.0,-0.476430205950237,2.7380620278269445,120032.16666666667,-0.0,0.0,0.7973068745570517,0.17142857142857143,0.0
WEN38:i1:nsga2:s60002:r2:PR1_HT0_EC1:e31b85b97044,WEN38,1,60002,2,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,2000,2000,114.15023662502063,budget_exhausted,False,59,59,35,0.8949834170434421,0.11826578578993115,1.0010145787832008,0.10569786975919024,4a520c125667ff9e,2.4645003619956904,145136.6666666667,-0.7973068745568526,2.467158051577547,147795.66666666666,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC0:785d4370cf5e,WEN38,1,60002,2,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,2000,2000,45.04965187498601,budget_exhausted,False,60,60,60,0.9762091661239218,0.08748964366216123,0.9421374721977628,0.1272995467673491,a0aa5c8182e3090a,2.4657341290705475,153057.33333333334,-0.7973068745568526,2.4657341290705475,153057.33333333334,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:073244d3b9aa,WEN38,1,60002,2,PR1_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,Full,2000,2000,98.86571504201856,budget_exhausted,False,60,60,60,0.9762091661239218,0.08748964366216123,0.9421374721977628,0.1272995467673491,a0aa5c8182e3090a,2.4657341290705475,153057.33333333334,-0.7973068745568526,2.4657341290705475,153057.33333333334,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60003:r3:PR0_HT1_EC1:c9ecedbe9866,WEN38,1,60003,3,PR0_HT1_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-PR,2000,2000,96.64256750000641,budget_exhausted,False,65,65,25,0.9288525996337895,0.06431492333529978,0.7049329253995562,0.22410028904536933,5c418b4481ec5780,2.8001326900446992,103041.0,-0.516074450085398,2.623219153546099,131884.6666666667,-0.3385371494669016,0.3385371494669016,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60003:r3:PR1_HT0_EC1:097c71e9a8cb,WEN38,1,60003,3,PR1_HT0_EC1,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-HT,2000,2000,97.31138070797897,budget_exhausted,False,51,51,36,0.9389919777276204,0.1344205570855307,1.0489064429837205,0.09523283630526137,bcee74411e227d97,2.4635458690763645,153220.5,-0.7973068745568526,2.4635458690763645,165180.16666666666,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC0:511599eb579d,WEN38,1,60003,3,PR1_HT1_EC0,cf9bc95d906238978e0c5ab26a1947d4104e026d3bac972323bf05453ec86ca7,benchmark,original,No-EC,2000,2000,31.734006207989296,budget_exhausted,False,37,37,37,1.0182428190431043,0.09906760367225381,0.9757841754037933,0.12277198465217598,c46d6d255e731b2f,2.4601970662449233,173180.6666666667,-0.7973068745568526,2.4601970662449233,173180.6666666667,-0.7973068745568526,0.7973068745568526,0.7973068745570517,0.0,0.0
