max_evaluations,solver_seed,solver_repeat,reduced_model,full_run_key,reduced_run_key,full_hv_advantage,full_igd_advantage,hv_preferred_model,igd_preferred_model,representative_relation,representative_reduced_minus_full_F1,representative_reduced_minus_full_F2,representative_reduced_minus_full_F3
2000,60004,4,No-EC,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:a8804fc163b2,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC0:384c4b2a81e6,0.0,0.0,equal,equal,equal,0.0,0.0,0.0
5000,60000,0,No-PR,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,WEN38:i1:nsga2:s60000:r0:PR0_HT1_EC1:9081e514fb6f,0.44506946696476557,0.17671343361508096,Full,Full,Full_dominates,0.07247535934159366,24269.666666666657,0.7232477891639064
5000,60000,0,No-HT,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,WEN38:i1:nsga2:s60000:r0:PR1_HT0_EC1:1639f57d8023,0.03898306092607817,0.0065392677756308665,Full,Full,tradeoff,0.0006078308712069713,-12397.333333333343,0.0
5000,60000,0,No-EC,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC1:ee51f2059906,WEN38:i1:nsga2:s60000:r0:PR1_HT1_EC0:133825dd952b,0.0,0.0,equal,equal,equal,0.0,0.0,0.0
5000,60001,1,No-PR,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:23ae88380adf,WEN38:i1:nsga2:s60001:r1:PR0_HT1_EC1:40665960a588,0.2652778336396092,0.08354596636510717,Full,Full,tradeoff,0.16101744902447912,-42772.16666666667,0.45876972508995095
5000,60001,1,No-HT,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:23ae88380adf,WEN38:i1:nsga2:s60001:r1:PR1_HT0_EC1:78ea841c0ff5,-0.037872940693717716,-0.012854962618175286,reduced,reduced,Full_dominates,0.0031259701611698887,13948.166666666672,0.0
5000,60001,1,No-EC,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC1:23ae88380adf,WEN38:i1:nsga2:s60001:r1:PR1_HT1_EC0:a68aa1d27e59,0.0,0.0,equal,equal,equal,0.0,0.0,0.0
5000,60002,2,No-PR,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:fcbd0dabd7d4,WEN38:i1:nsga2:s60002:r2:PR0_HT1_EC1:808bda2358e2,0.4405564027150527,0.1703367783715292,Full,Full,Full_dominates,0.31104042882286054,16272.5,0.7973068745568526
5000,60002,2,No-HT,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:fcbd0dabd7d4,WEN38:i1:nsga2:s60002:r2:PR1_HT0_EC1:aa692b75cf5c,-0.019311461878248393,-0.010217228840550818,reduced,reduced,tradeoff,-0.0026519668705686783,3905.5,0.0
5000,60002,2,No-EC,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC1:fcbd0dabd7d4,WEN38:i1:nsga2:s60002:r2:PR1_HT1_EC0:33a10700af6f,0.0,0.0,equal,equal,equal,0.0,0.0,0.0
5000,60003,3,No-PR,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:e6fe7a604964,WEN38:i1:nsga2:s60003:r3:PR0_HT1_EC1:c710c850bf31,0.22959804484212487,0.09055774432326251,Full,Full,tradeoff,0.14321828968516126,-70270.66666666666,0.5399229083104728
5000,60003,3,No-HT,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:e6fe7a604964,WEN38:i1:nsga2:s60003:r3:PR1_HT0_EC1:5dd76293d3f3,-0.06697841877913202,-0.012822139883489944,reduced,reduced,tradeoff,0.0030813288573732223,-16903.166666666657,0.0
5000,60003,3,No-EC,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC1:e6fe7a604964,WEN38:i1:nsga2:s60003:r3:PR1_HT1_EC0:81e09eaca11b,0.0,0.0,equal,equal,equal,0.0,0.0,0.0
5000,60004,4,No-PR,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:412ad82c5ece,WEN38:i1:nsga2:s60004:r4:PR0_HT1_EC1:5cf91a1f9acc,0.2181553550417461,0.0820231129005599,Full,Full,tradeoff,0.16260676028513377,-25433.833333333343,0.5132017431405984
5000,60004,4,No-HT,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:412ad82c5ece,WEN38:i1:nsga2:s60004:r4:PR1_HT0_EC1:3c278f15c52c,0.28792280773059753,0.08003592611461123,Full,Full,Full_dominates,0.012442578027131113,5726.666666666657,0.7973068745568526
5000,60004,4,No-EC,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC1:412ad82c5ece,WEN38:i1:nsga2:s60004:r4:PR1_HT1_EC0:55d5a07c7ef1,0.0,0.0,equal,equal,equal,0.0,0.0,0.0
