run_key,solution_id,physical_instance_hash,planning_model,planning_model_fingerprint,execution_model,execution_model_fingerprint,instance_seed,solver_seed,algorithm,decision_hash,planning_F1,planning_F2,planning_F3,replay_F1,replay_F2,replay_F3,replay_minus_planning_F1,replay_minus_planning_F2,replay_minus_planning_F3,replay_final_total_satisfaction,replay_final_min_satisfaction,replay_zero_service_ratio,replay_remaining_supply,representative_selected_before_replay,replay_success,replay_error
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0011,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,66ce22968677a9d4,3.8203926949919986,3602.267109765886,-0.8999999999998799,3.8203926949919986,3602.267109765886,-0.8999999999998799,0.0,0.0,0.0,0.89999999999988,0.8999999999998799,0.0,1.3596945791505277e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0012,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,53c5bec5aad623a0,3.822754443393368,3569.2200388402166,-0.8999999999998798,3.822754443393368,3569.2200388402166,-0.8999999999998798,0.0,0.0,0.0,0.8999999999998799,0.8999999999998798,0.0,1.3606893389805919e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0013,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,8ceb2a0506aab91b,3.9099634692773355,3192.8033848804876,-0.8999999999998645,3.9099634692773355,3192.8033848804876,-0.8999999999998645,0.0,0.0,0.0,0.8999999999998646,0.8999999999998645,0.0,1.5351986348832725e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0014,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,56ecf3af8a1a39c9,3.8299607470847343,3452.2982432627505,-0.8999999999998598,3.8299607470847343,3452.2982432627505,-0.8999999999998598,0.0,0.0,0.0,0.8999999999998599,0.8999999999998598,0.0,1.588631448612432e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0015,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,f0bbccd7cb5a4b86,4.103827141290869,3127.8343766374082,-0.8999999999998516,4.103827141290869,3127.8343766374082,-0.8999999999998516,0.0,0.0,0.0,0.8999999999999015,0.8999999999998516,0.0,1.1172573977091815e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0016,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,d3a6c118c69cb97f,4.103827141290869,3127.8343766374082,-0.8999999999998516,4.103827141290869,3127.8343766374082,-0.8999999999998516,0.0,0.0,0.0,0.8999999999999015,0.8999999999998516,0.0,1.1172573977091815e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0017,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,1789610ec48d40ca,3.8229813472995664,3430.6642639555935,-0.8999999999998027,3.8229813472995664,3430.6642639555935,-0.8999999999998027,0.0,0.0,0.0,0.8999999999998027,0.8999999999998027,0.0,2.234088469776907e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0018,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,dca74258915dfd81,3.8229813472995664,3430.6642639555935,-0.8999999999998027,3.8229813472995664,3430.6642639555935,-0.8999999999998027,0.0,0.0,0.0,0.8999999999998027,0.8999999999998027,0.0,2.234088469776907e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0019,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,9be3f3de3e42bb3f,3.8197505071012188,3511.226073420821,-0.8999999999998027,3.8197505071012188,3511.226073420821,-0.8999999999998027,0.0,0.0,0.0,0.8999999999998027,0.8999999999998027,0.0,2.234230578324059e-10,False,True,
S025:i101:nsga2:s1060000:r0:PR0_HT1_EC1:73bdb67f1ad4,p0020,70d341da6c5174b063c8414b25e59cf56291648185a27cb84cbbd2e07111c3fb,v2,0df35a50085a82c2c6ad5f4c9d1a14b30906299059549f57933c5158730feaef,full,d1e9b917825aa35e33cfb7331165bb89047ab66bf4314f91d92277f2912b72ad,101,1060000,nsga2,69eac9b93863e2f5,3.8197505071012188,3511.226073420821,-0.8999999999998027,3.8197505071012188,3511.226073420821,-0.8999999999998027,0.0,0.0,0.0,0.8999999999998027,0.8999999999998027,0.0,2.234230578324059e-10,False,True,
