overlay_type,overlay_seed,decision_id,decision_hash,threshold_sensitive_edge_periods,threshold_sensitive_od_periods,vehicle_access_set_changes,allocation_route_changed,allocation_vehicle_changed,allocation_amount_changed,allocation_trips_changed,allocation_pairing_changed,allocation_any_changed,delta_F1,delta_F2,delta_F3,F1,F2,F3,no_ht_F1,no_ht_F2,no_ht_F3,objective_changed,od_periods_considered
SR-C,9,spt,1d59520d6ab73f38,6,95,41,2,2,2,2,0,2,-0.005891879510399711,-3556.333333333314,0.0,2.4866531676893846,186131.0,-0.0,2.480761288178985,182574.6666666667,0.0,True,945
SR-C,9,random_0,57ab8fee3955b4fb,6,68,9,1,1,2,2,0,2,0.00044294826364232875,-7346.666666666657,0.0,2.5208108251121732,195378.0,-0.0,2.5212537733758156,188031.33333333334,0.0,True,945
SR-C,9,random_1,796433e468eae10e,4,64,0,1,1,2,1,0,2,0.00044294826364232875,1718.333333333314,0.0,2.486156725879276,171832.6666666667,-0.0,2.4865996741429184,173551.0,0.0,True,945
SR-C,9,random_2,c2b019e7977b752f,10,122,44,3,3,3,3,0,3,-0.18144543093510634,-5601.666666666657,0.0,2.974161353643466,206467.33333333334,-0.0,2.7927159227083598,200865.6666666667,0.0,True,945
SR-C,9,random_3,e4a539af7733d375,8,67,12,1,1,1,1,0,1,0.0,-1325.666666666686,0.0,2.4855636438900195,163734.33333333334,-0.0,2.4855636438900195,162408.66666666666,0.0,True,945
SR-C,10,spt,da63d2485775dfee,6,79,0,1,1,2,1,0,2,0.0008858965272855457,3128.666666666686,0.0,2.4762433363466334,232877.0,-0.0,2.477129232873919,236005.6666666667,0.0,True,945
SR-C,10,random_0,cb38da04270bc503,8,37,12,1,2,2,2,0,3,-0.0008858965274494146,-1677.333333333343,0.0,2.55655123976364,205329.6666666667,-0.03784693019588303,2.5556653432361904,203652.33333333334,-0.03784693019588303,True,945
SR-C,10,random_1,a000b40ddad1aef3,8,63,3,0,0,0,0,0,0,0.0,0.0,0.0,2.4739208615767128,226198.0,-0.0,2.4739208615767128,226198.0,0.0,False,945
SR-C,10,random_2,eff57d322f8baf7b,10,125,33,2,2,2,2,0,2,-0.004429482636428617,-32239.99999999994,0.0,2.4834966059830474,263860.3333333333,-0.0,2.479067123346619,231620.33333333337,0.0,True,945
SR-C,10,random_3,8a77b026e5c5fb76,9,68,6,2,2,2,2,0,2,-0.0008858965272855457,-24731.333333333343,0.0,2.4749144915557046,249225.00000000003,-0.0,2.474028595028419,224493.6666666667,0.0,True,945
SR-C,11,spt,bc3b685e5ca587d2,6,23,18,1,1,1,1,0,1,0.0,-404.0,0.0,2.9626245862742477,164330.33333333334,-0.0,2.9626245862742477,163926.33333333334,0.0,True,945
SR-C,11,random_0,a13a7050478ea4ab,9,131,91,4,4,4,4,0,4,-0.13323668641414255,-41513.33333333334,0.11076516312004969,3.6661127048409154,250906.33333333337,-0.7410496172396961,3.532876018426773,209393.00000000003,-0.6302844541196464,True,945
SR-C,11,random_1,0c20cfdebf12b4f5,6,119,69,3,3,3,3,0,3,-0.09484125744512051,-25827.333333333314,0.0,2.861718065524619,227787.0,-0.0,2.7668768080794983,201959.6666666667,0.0,True,945
SR-C,11,random_2,9bb76b3255361aa1,9,111,54,2,2,2,2,0,2,0.0,-51354.0,0.0,4.204996456414385,222034.0,-0.6926383664695095,4.204996456414385,170680.0,-0.6926383664695095,True,945
SR-C,11,random_3,9ab9e91932d7ac17,10,116,87,4,4,4,4,0,4,-0.27600295085461024,-43813.333333333314,0.6775403135352462,4.055128447990885,259732.3333333333,-0.6775403135352462,3.779125497136275,215919.0,0.0,True,945
SR-C,12,spt,c42712e1158061ae,6,35,6,0,0,0,0,0,0,0.0,0.0,0.0,2.481717612073796,165883.0,-0.0,2.481717612073796,165883.0,0.0,False,945
SR-C,12,random_0,ce194482de7dfc90,8,55,39,2,2,2,2,0,2,-0.17372505821753936,-16566.833333333343,0.0,2.716133487361965,214988.83333333334,-0.0,2.5424084291444258,198422.0,0.0,True,945
SR-C,12,random_1,650aab9f01457e32,8,39,6,1,1,2,1,0,2,0.0004429482636987281,-1078.666666666657,0.0,2.6153095096306704,159928.83333333334,-0.0,2.615752457894369,158850.1666666667,0.0,True,945
SR-C,12,random_2,c4ba05431873c5f3,8,22,9,0,0,0,0,0,0,0.0,0.0,0.0,2.632952402044607,143754.0,-0.0,2.632952402044607,143754.0,0.0,False,945
SR-C,12,random_3,7e06d1efcca451dd,4,13,9,1,1,1,1,0,1,0.0,-387.0,0.0,2.48263919460262,170138.33333333334,-0.0,2.48263919460262,169751.33333333334,0.0,True,945
SR-C,13,spt,2b7b72e06fc6bcdb,6,44,18,0,0,0,0,0,0,0.0,0.0,0.0,2.4721443223004727,170095.0,-0.0,2.4721443223004727,170095.0,0.0,False,945
SR-C,13,random_0,06047805cfc537da,9,43,18,1,1,1,1,0,1,0.0,-770.0,0.0,2.4741357266071757,156143.0,-0.0,2.4741357266071757,155373.0,0.0,True,945
SR-C,13,random_1,1d690f3ee8aecbba,7,50,21,1,1,1,1,0,1,0.0,-1746.0,0.0,2.471341303513059,153913.0,-0.0,2.471341303513059,152167.0,0.0,True,945
SR-C,13,random_2,923a1f35d7abd410,6,45,18,0,0,0,0,0,0,0.0,0.0,0.0,2.510855330488893,148663.0,-0.0,2.510855330488893,148663.0,0.0,False,945
SR-C,13,random_3,c51786c8f9c7ee0a,7,44,24,1,1,2,2,0,2,-0.00044294826364321693,-9631.333333333343,0.0,2.4702168098516264,165310.1666666667,-0.0,2.469773861587983,155678.83333333334,0.0,True,945
SR-C,14,spt,5e673ac5de8f354a,6,61,0,2,2,2,2,0,2,-0.003878304198766891,-6979.333333333314,0.0,2.4785355603790276,151910.0,-0.0,2.4746572561802607,144930.6666666667,0.0,True,945
SR-C,14,random_0,01f660e2c5b57294,11,74,9,2,2,2,2,0,2,0.0,-5290.333333333343,0.0,2.4743237183061515,191946.0,-0.0,2.4743237183061515,186655.66666666666,0.0,True,945
SR-C,14,random_1,650db6188cae9115,8,69,47,2,2,2,2,0,2,0.0044294826364277284,-4752.333333333314,0.0,2.473214259163396,192507.0,-0.0,2.477643741799824,187754.6666666667,0.0,True,945
SR-C,14,random_2,744b17439b08f69c,7,109,57,3,3,3,3,0,3,-0.002197577033995035,-9624.000000000015,0.0,2.4978815972531097,139750.6666666667,-0.0,2.4956840202191146,130126.66666666667,0.0,True,945
SR-C,14,random_3,22f92e362654cf94,8,84,3,1,1,1,1,0,1,0.0,-617.3333333333139,0.0,2.532103150987486,140111.0,-0.0,2.532103150987486,139493.6666666667,0.0,True,945
SR-C,15,spt,2e3cf97455d8de04,6,43,18,0,0,0,0,0,0,0.0,0.0,0.0,2.46993707353391,151745.0,-0.0,2.46993707353391,151745.0,0.0,False,945
SR-C,15,random_0,02a278948b930c50,7,80,48,1,2,1,2,0,2,0.0,2795.999999999971,0.0,2.490505509773203,174137.33333333334,-0.0,2.490505509773203,176933.3333333333,0.0,True,945
SR-C,15,random_1,f473a6b0fb953394,6,29,24,1,2,1,2,0,2,0.0,-2066.666666666657,0.0,2.4827504301233034,168302.66666666666,-0.0,2.4827504301233034,166236.0,0.0,True,945
SR-C,15,random_2,482d403b6fcb2a92,6,54,21,0,0,0,0,0,0,0.0,0.0,0.0,2.4797975475063367,142507.0,-0.0,2.4797975475063367,142507.0,0.0,False,945
SR-C,15,random_3,621bd66b7d413177,9,63,24,0,1,0,1,0,1,0.0,-2754.666666666686,0.0,2.5145696715221484,181018.33333333334,-0.0,2.5145696715221484,178263.66666666666,0.0,True,945
SR-C,16,spt,a5087c29ceb1a31d,6,75,9,1,0,1,1,0,1,0.0,-754.6666666666861,0.0,2.485137334186777,149090.6666666667,-0.7973068745568526,2.485137334186777,148336.0,-0.7973068745568526,True,945
SR-C,16,random_0,4c8fcfe8c71b66a2,6,62,12,2,1,2,2,0,2,-0.0017717930545710914,-216.33333333334303,0.0,2.478917576380765,144401.6666666667,-0.0,2.477145783326194,144185.33333333334,0.0,True,945
SR-C,16,random_1,601dd97b54eb6732,8,68,6,1,1,2,2,0,2,0.0004269688057290111,-1934.666666666657,0.0,2.4825167714509373,170951.0,-0.0,2.4829437402566663,169016.33333333334,0.0,True,945
