decision_id,period,damage_id,u,v,progress,allowed_vehicle_count,allowed_vehicle_types,threshold_sensitive_edge
random_0,7,11,26,34,1.0,4,1|2|3|4,False
random_0,7,12,28,29,0.6666666666666666,2,1|2,True
random_0,7,13,33,34,1.0,4,1|2|3|4,False
random_0,7,14,34,35,1.0,4,1|2|3|4,False
random_0,7,15,36,37,1.0,4,1|2|3|4,False
random_0,8,0,1,17,1.0,4,1|2|3|4,False
random_0,8,1,4,5,1.0,4,1|2|3|4,False
random_0,8,2,11,12,1.0,4,1|2|3|4,False
random_0,8,3,11,18,1.0,4,1|2|3|4,False
random_0,8,4,13,14,1.0,4,1|2|3|4,False
random_0,8,5,17,19,1.0,4,1|2|3|4,False
random_0,8,6,17,22,1.0,4,1|2|3|4,False
random_0,8,7,18,25,1.0,4,1|2|3|4,False
random_0,8,8,22,24,1.0,4,1|2|3|4,False
random_0,8,9,24,30,1.0,4,1|2|3|4,False
random_0,8,10,26,28,1.0,4,1|2|3|4,False
random_0,8,11,26,34,1.0,4,1|2|3|4,False
random_0,8,12,28,29,1.0,4,1|2|3|4,False
random_0,8,13,33,34,1.0,4,1|2|3|4,False
random_0,8,14,34,35,1.0,4,1|2|3|4,False
random_0,8,15,36,37,1.0,4,1|2|3|4,False
random_0,9,0,1,17,1.0,4,1|2|3|4,False
random_0,9,1,4,5,1.0,4,1|2|3|4,False
random_0,9,2,11,12,1.0,4,1|2|3|4,False
random_0,9,3,11,18,1.0,4,1|2|3|4,False
random_0,9,4,13,14,1.0,4,1|2|3|4,False
random_0,9,5,17,19,1.0,4,1|2|3|4,False
random_0,9,6,17,22,1.0,4,1|2|3|4,False
random_0,9,7,18,25,1.0,4,1|2|3|4,False
random_0,9,8,22,24,1.0,4,1|2|3|4,False
random_0,9,9,24,30,1.0,4,1|2|3|4,False
random_0,9,10,26,28,1.0,4,1|2|3|4,False
random_0,9,11,26,34,1.0,4,1|2|3|4,False
random_0,9,12,28,29,1.0,4,1|2|3|4,False
random_0,9,13,33,34,1.0,4,1|2|3|4,False
random_0,9,14,34,35,1.0,4,1|2|3|4,False
random_0,9,15,36,37,1.0,4,1|2|3|4,False
random_1,1,0,1,17,0.0,0,,False
random_1,1,1,4,5,0.0,0,,False
random_1,1,2,11,12,0.0,0,,False
random_1,1,3,11,18,0.0,0,,False
random_1,1,4,13,14,0.0,0,,False
